rank,feature,mean_absolute_shap_value
1,URLSimilarityIndex,0.17529284354973765
2,LineOfCode,0.05948975941218335
3,NoOfExternalRef,0.04886534592574295
4,NoOfSelfRef,0.043819181580129776
5,NoOfImage,0.037851187073113184
6,IsHTTPS,0.028202331634824957
7,HasSocialNet,0.02104371980016623
8,NoOfJS,0.020888415300295757
9,HasDescription,0.012018083423770523
10,HasCopyrightInfo,0.011315477875983502
11,NoOfOtherSpecialCharsInURL,0.01083144977626966
12,NoOfCSS,0.00951882356836394
13,NoOfDegitsInURL,0.006715278448948736
14,LargestLineLength,0.006014852920170147
15,URLLength,0.005983606254083201
16,DomainTitleMatchScore,0.00577861712264369
17,NoOfLettersInURL,0.004613737134096074
18,DegitRatioInURL,0.0040765251038361785
19,NoOfSubDomain,0.004066333231290574
20,LetterRatioInURL,0.0038909637088814504
21,SpacialCharRatioInURL,0.003142519308842208
22,HasSubmitButton,0.003139966116918971
23,NoOfEmptyRef,0.0024701174803390398
24,NoOfiFrame,0.0023625450616418875
25,IsResponsive,0.0019849821097056033
26,URLTitleMatchScore,0.0016439439864973026
27,HasFavicon,0.0014039779219484072
28,URLCharProb,0.0007929649882284078
29,HasHiddenFields,0.0006113975530881858
30,CharContinuationRate,0.0005375867986615467
31,DomainLength,0.0005324672471564142
32,HasTitle,0.0005050684917860922
33,NoOfQMarkInURL,0.00032639055307297937
34,TLDLegitimateProb,0.0002941481657757101
35,Pay,0.0002455205738725741
36,NoOfEqualsInURL,0.00023737929226754496
37,TLDLength,0.00016004661569216354
38,HasPasswordField,0.0001422494346994491
39,Robots,7.210715931061446e-05
40,NoOfPopup,6.626184259774571e-05
41,NoOfURLRedirect,4.8761243853104657e-05
42,Bank,4.244791619685523e-05
43,NoOfSelfRedirect,1.631157120917004e-05
44,Crypto,1.3152964734738624e-05
45,IsDomainIP,6.410981117316477e-06
46,HasExternalFormSubmit,4.2959875103059236e-06
47,NoOfAmpersandInURL,2.228807021508709e-06
48,ObfuscationRatio,1.3628850729381537e-06
49,NoOfObfuscatedChar,1.3359572294091169e-06
50,HasObfuscation,1.705816846558908e-07
