rank,feature,mean_absolute_shap_value
1,SSLfinal_State,0.16149551851014193
2,URL_of_Anchor,0.1361236310200887
3,Prefix_Suffix,0.08336738911262973
4,web_traffic,0.08149913228475344
5,having_Sub_Domain,0.032260565457768293
6,age_of_domain,0.032074495990189376
7,Page_Rank,0.02916762285668888
8,Links_in_tags,0.020559660260978326
9,Domain_registeration_length,0.020215089898403225
10,DNSRecord,0.016226030661326215
11,Request_URL,0.013780202299144003
12,Google_Index,0.010405463716896858
13,Links_pointing_to_page,0.009843204288728794
14,URL_Length,0.004088943917616596
15,popUpWidnow,0.003278823712145388
16,SFH,0.0032569488567212247
17,HTTPS_token,0.003255895217259382
18,Abnormal_URL,0.0020468520181064374
19,Shortining_Service,0.001921298492618543
20,having_IP_Address,0.001914025285014937
21,Favicon,0.0017039500499525897
22,Submitting_to_email,0.0015436495712913302
23,Iframe,0.0011789635305856684
24,port,0.0010996663429888782
25,on_mouseover,0.0009489769874493617
26,Statistical_report,0.0009452562756085376
27,double_slash_redirecting,0.0007343421308047135
28,Redirect,0.0006567387265603264
29,having_At_Symbol,0.0006047264889662851
30,RightClick,0.00048484832071526415
